"Data de Ocorrência",Monitoramento,Servico,"Manifestações Quantidade","Usuário","Título","Conteúdo",Link,"Tipo Conteudo","Manifestacoes Detalhado","data_ultima_atualizacao",datacoleta
"2025-03-31T20:17:54.000Z","Políticas Públicas",X,953307,laisvlz,,"literalmente decidi n ir p federal pq n queria continuar em adm, desisti da bolsa de 100% indo p terceiro período sem pedir opinião de ngm, fiz enem e passei c bolsa 100% no curso q eu realmente qria vsf máquina do caralho https://x.com/hopegabrielleee/status/1871611599582355524/video/1","https://twitter.com/i/web/status/1906848456037015926","Vídeo","{""favorites"":2,""replies"":1,""retweets"":0,""videoViews"":953304,""quotes"":0}","2025-04-01T00:04:01.000Z","2025-03-31T20:18:01.000Z"
"2025-03-17T13:42:26.000Z","Desinformação em Políticas Públicas",X,953093,colletthusbnd,,"gente, será que pode fazer lettering no ENEM? https://x.com/acervohisa/status/1899237656694812822/video/1","https://twitter.com/i/web/status/1901675505079718383","Vídeo","{""favorites"":5,""replies"":1,""retweets"":0,""videoViews"":953087,""quotes"":0}","2025-03-17T16:47:25.000Z","2025-03-17T16:36:23.000Z"
"2025-03-24T12:41:09.000Z","Igualdade Racial ",X,919102,"Gui_ani12",,"🇧🇷Spotify // Charts Update Sei Que Tu Me Odeia #14 ———Racismo——— ———JusBrasil——— ——-Lambreta——— Motinha 2.0 #38 ☠️☠️☠️ Maior artista do Brasil, quando volta é com tudo! https://x.com/RedeAnittaBRA/status/1803950675778277385/video/1","https://twitter.com/i/web/status/1904196799339831353","Vídeo","{""favorites"":2,""replies"":0,""retweets"":0,""videoViews"":919100,""quotes"":0}","2025-03-24T16:21:09.000Z","2025-03-24T12:41:21.000Z"
"2025-03-30T21:52:29.000Z","Desinformação em Políticas Públicas",X,915378,shamtilly,,"concordo com todo esse negócio anti IA, mas não faz sentindo nenhum os pseudos estudados julgarem, sei lá, uma tia clt que nem terminou o ensino médio só porque ela achou fofo ser pintada como um anime do studio ghibli https://x.com/willsreactions/status/1683679523395575814/video/1","https://twitter.com/i/web/status/1906509873086423215","Vídeo","{""favorites"":6,""replies"":0,""retweets"":0,""videoViews"":915371,""quotes"":1}","2025-03-31T01:17:58.000Z","2025-03-30T21:52:42.000Z"
"2025-03-20T13:42:14.000Z","Desinformação em Políticas Públicas",X,905039,joaojota24,,"@BKcomenta LET'S GO!!! Queremos o vídeo do Intenso Alisamento com mais views que as fake news do Nikolas Ferreira #BBB25 https://x.com/midiashttps/status/1902759424776671621/video/1","https://twitter.com/i/web/status/1902762617787081160",Resposta,"{""favorites"":83,""replies"":3,""retweets"":4,""videoViews"":904949,""quotes"":0}","2025-03-20T19:51:52.000Z","2025-03-20T13:42:29.000Z"
"2025-03-24T22:15:34.000Z","Igualdade Racial ",X,895537,"_currentguy",,"@QGdoPOP parem de engajar o racista do leo avila https://x.com/i/status/1809335998360482271/video/1","https://twitter.com/i/web/status/1904341354626392414",Resposta,"{""favorites"":3,""replies"":0,""retweets"":0,""videoViews"":895534,""quotes"":0}","2025-03-25T04:11:38.000Z","2025-03-24T22:15:43.000Z"
"2025-03-26T17:03:42.000Z","Igualdade Racial ",X,894745,erisgostoso,,"@iriitated @minliixes O bom é que os brasileiro gostam de meter a porrada nos RACISTAS igual você https://x.com/EuSouVascaino_/status/1904648008160952328/video/1","https://twitter.com/i/web/status/1904987648265257198",Resposta,"{""favorites"":6,""replies"":1,""retweets"":0,""videoViews"":894738,""quotes"":0}","2025-03-26T20:18:22.000Z","2025-03-26T17:03:52.000Z"
"2025-03-18T12:28:53.000Z","Igualdade Racial ",X,894617,vincisnm,,"acabei de apresentar meu primeiro seminário da facul sobre racismo e todos do meu grupo eram whites https://x.com/acervocoxta/status/1694340714082238748/video/1","https://twitter.com/i/web/status/1902019382781317526","Vídeo","{""favorites"":2,""replies"":1,""retweets"":0,""videoViews"":894614,""quotes"":0}","2025-03-18T15:42:29.000Z","2025-03-18T14:05:27.000Z"
"2025-03-30T19:48:41.000Z","Acessibilidade e inclusão PCD",X,891662,"OnlyMartyn_",,"mds eu sou gay, afeminado, periférica, indígena e agora sou PCD https://x.com/willsreactions/status/1683679523395575814/video/1","https://twitter.com/i/web/status/1906478719050367480","Vídeo","{""favorites"":25,""replies"":3,""retweets"":0,""videoViews"":891633,""quotes"":1}","2025-03-30T23:03:14.000Z","2025-03-30T19:48:48.000Z"
"2025-03-22T22:50:35.000Z","Desinformação em Políticas Públicas",X,891105,cinnaoirei,,"mais uma fake news pros fãs do anos 50 #bbb25 https://x.com/apegadaf/status/1879327513467617409/video/1","https://twitter.com/i/web/status/1903625391224303807","Vídeo","{""favorites"":1,""replies"":0,""retweets"":0,""videoViews"":891104,""quotes"":0}","2025-03-23T01:58:41.000Z","2025-03-22T22:50:46.000Z"
